::1 - - [07/Jun/2021:11:19:01 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:4000/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards HTTP/1.1" 201 141 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards HTTP/1.1" 200 292 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards HTTP/1.1" 200 292 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/e257eec2-1ae8-46d5-8b35-b47a40a3ed46 HTTP/1.1" 200 141 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards HTTP/1.1" 201 141 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "DELETE /boards/2ccde5ec-9f99-4d29-ba62-70ceb061411b HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards HTTP/1.1" 201 141 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "PUT /boards/b7a98767-a1b7-4b9d-9221-e5cb860f91f6 HTTP/1.1" 200 149 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/b7a98767-a1b7-4b9d-9221-e5cb860f91f6 HTTP/1.1" 200 149 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "DELETE /boards/b7a98767-a1b7-4b9d-9221-e5cb860f91f6 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards HTTP/1.1" 201 141 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "DELETE /boards/e14edde7-8b3b-4b92-96ee-6b53aa3dad0a HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/e14edde7-8b3b-4b92-96ee-6b53aa3dad0a HTTP/1.1" 404 9 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards HTTP/1.1" 201 141 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks HTTP/1.1" 201 180 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks HTTP/1.1" 201 180 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks HTTP/1.1" 201 180 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks HTTP/1.1" 201 180 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks HTTP/1.1" 201 180 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks/a8b3ff87-78df-403a-ba85-e267d31e6c05 HTTP/1.1" 200 180 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks/6f3cd082-2851-42fa-8cac-57c20a588572 HTTP/1.1" 200 180 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks/fe6eed07-e5cd-446e-8678-f8cd751cb968 HTTP/1.1" 200 180 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks/cd673d0d-a91f-47f3-9245-b46776ada3c0 HTTP/1.1" 200 180 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks/4c936e2d-d5a4-4e00-9e02-133690f74ff5 HTTP/1.1" 200 180 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "DELETE /boards/6816585b-6c33-4eb5-a94b-38668555fffc HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks/a8b3ff87-78df-403a-ba85-e267d31e6c05 HTTP/1.1" 404 9 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks/6f3cd082-2851-42fa-8cac-57c20a588572 HTTP/1.1" 404 9 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks/4c936e2d-d5a4-4e00-9e02-133690f74ff5 HTTP/1.1" 404 9 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks/fe6eed07-e5cd-446e-8678-f8cd751cb968 HTTP/1.1" 404 9 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/6816585b-6c33-4eb5-a94b-38668555fffc/tasks/cd673d0d-a91f-47f3-9245-b46776ada3c0 HTTP/1.1" 404 9 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "DELETE /boards/e257eec2-1ae8-46d5-8b35-b47a40a3ed46 HTTP/1.1" 204 - "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards HTTP/1.1" 201 141 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "POST /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks HTTP/1.1" 201 186 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:26 +0000] "GET /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks HTTP/1.1" 200 188 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks HTTP/1.1" 200 188 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "GET /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks/5d7b80ff-3dee-4ea8-ac9b-073f4d6f1757 HTTP/1.1" 200 186 "-" "-"
::ffff:127.0.0.1 - - [07/Jun/2021:11:39:27 +0000] "POST /boards/a20f30e3-f39a-4ef7-a971-a7e7607ec777/tasks HTTP/1.1" 201 186 "-" "-"
